,Type,Year,Mo,Country,Latitude,Longitude,Total Deaths,Total Death Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Mag,Maximum Water Height (m)
1,EQ,1990.0,2.0,Philippines,9.755,124.694,,2.0,300.0,3.0,0.9,1.0,6.6,
2,EQ,1990.0,2.0,Japan,34.706,139.252,,,,,,,6.4,
3,EQ,1990.0,2.0,United States,34.14,-117.7,,,30.0,1.0,12.7,3.0,5.5,
4,EQ,1990.0,3.0,Fiji,-22.122,175.163,,,,,,,7.6,
5,EQ,1990.0,3.0,Pakistan,28.925,66.331,11.0,1.0,40.0,1.0,1.0,2.0,6.1,
6,EQ,1990.0,3.0,Costa Rica,9.919,-84.808,,,15.0,1.0,,2.0,7.0,
7,EQ,1990.0,3.0,Tajikistan,37.034,72.942,,,,,,1.0,6.3,
8,EQ,1990.0,3.0,Philippines,9.253,125.606,1.0,1.0,2.0,1.0,,1.0,5.5,
9,EQ,1990.0,4.0,United Kingdom,52.314,-2.985,,,,,,1.0,4.7,
10,EQ,1990.0,4.0,Guam,15.125,147.596,,,,,,,7.5,
11,EQ,1990.0,4.0,China,39.436,74.9,,,2.0,1.0,,2.0,6.2,
12,EQ,1990.0,4.0,Indonesia,1.186,122.857,3.0,1.0,25.0,1.0,,3.0,7.6,
13,EQ,1990.0,4.0,Iran,31.107,51.678,,,,,,1.0,4.7,
14,EQ,1990.0,4.0,China,35.986,100.245,126.0,3.0,2049.0,4.0,58.35,4.0,6.9,
15,EQ,1990.0,5.0,Italy,40.775,15.766,2.0,1.0,16.0,1.0,,2.0,5.4,
16,EQ,1990.0,5.0,New Zealand,-40.296,176.064,,,,,,2.0,6.3,
17,EQ,1990.0,5.0,Sudan,5.121,32.145,31.0,1.0,,,,1.0,7.1,
18,EQ,1990.0,5.0,Sudan,5.358,31.848,,,,,,1.0,7.0,
19,EQ,1990.0,5.0,Peru,-6.016,-77.229,200.0,3.0,8130.0,4.0,1.0,2.0,6.5,
20,EQ,1990.0,5.0,Oman,45.841,26.668,14.0,1.0,700.0,3.0,23.7,3.0,6.7,
21,EQ,1990.0,5.0,Oman,45.811,26.769,,,,,,1.0,6.1,
22,EQ,1990.0,6.0,Costa Rica,9.855,-84.327,,,,,,1.0,4.6,
23,EQ,1990.0,6.0,Peru,-6.062,-77.136,1.0,1.0,,,,1.0,4.9,
24,EQ,1990.0,6.0,Philippines,11.76,121.899,4.0,1.0,15.0,1.0,,2.0,7.1,
25,EQ,1990.0,6.0,Kazakhstan,47.869,85.076,1.0,1.0,,,,3.0,6.8,
26,EQ,1990.0,6.0,Pakistan,27.398,65.719,,,6.0,1.0,,1.0,6.3,
27,EQ,1990.0,6.0,Iran,36.957,49.409,40000.0,4.0,105000.0,4.0,7200.0,4.0,7.3,
28,EQ,1990.0,6.0,Iran,36.636,49.799,20.0,1.0,,,,1.0,5.3,
29,EQ,1990.0,7.0,Indonesia,-6.904,108.12,,,103.0,3.0,,3.0,4.8,
30,EQ,1990.0,7.0,Afghanistan,36.415,70.789,43.0,1.0,,,,,5.6,
31,EQ,1990.0,7.0,Philippines,15.679,121.172,2412.0,4.0,3000.0,4.0,369.6,4.0,7.8,
32,EQ,1990.0,7.0,Turkey,36.99,29.595,,,,,,2.0,5.1,
33,EQ,1990.0,7.0,Vanuatu,-15.355,167.464,,,2.0,1.0,,2.0,6.4,
34,EQ,1990.0,8.0,Kazakhstan,47.963,84.961,,,8.0,1.0,,2.0,6.1,
35,EQ,1990.0,8.0,Ecuador,-0.059,-78.449,4.0,1.0,10.0,1.0,,3.0,4.4,
36,EQ,1990.0,9.0,Japan,33.267,138.643,,,,,,,6.5,
37,EQ,1990.0,9.0,South Africa,-28.014,26.727,2.0,1.0,5.0,1.0,,1.0,4.2,
38,EQ,1990.0,9.0,Kazakhstan,47.903,84.961,,,,,,1.0,4.5,
39,EQ,1990.0,10.0,South Africa,-26.39,27.349,10.0,1.0,6.0,1.0,,,4.0,
40,EQ,1990.0,10.0,China,37.093,103.781,4.0,1.0,92.0,2.0,,3.0,5.8,
41,EQ,1990.0,10.0,Afghanistan,35.121,70.486,11.0,1.0,250.0,3.0,,1.0,6.0,
42,EQ,1990.0,11.0,Iran,28.251,55.462,22.0,1.0,100.0,2.0,232.3,4.0,6.7,
43,EQ,1990.0,11.0,Indonesia,3.908,97.457,1.0,1.0,32.0,1.0,2.1,2.0,6.8,
44,EQ,1990.0,11.0,BALKANS NW:  BOSNIA-HERZEGOVINA:  TITOGRAD,43.853,16.633,,,10.0,1.0,,2.0,5.6,
45,EQ,1990.0,12.0,Kyrgyzstan,40.854,73.553,,,,,,3.0,4.6,
46,EQ,1990.0,12.0,Italy,37.3,15.438,19.0,1.0,200.0,3.0,500.0,4.0,5.3,
47,EQ,1990.0,12.0,Taiwan,23.916,121.636,2.0,1.0,3.0,1.0,,1.0,6.2,
48,EQ,1990.0,12.0,Taiwan,23.722,121.627,,,,,,1.0,6.3,
49,EQ,1990.0,12.0,Greece,41.004,22.3,1.0,1.0,60.0,2.0,,1.0,5.9,
50,EQ,1990.0,12.0,Costa Rica,9.869,-84.302,2.0,1.0,350.0,3.0,19.5,3.0,5.7,
51,EQ,1990.0,12.0,Guinea,-5.097,150.967,,,,,,1.0,7.5,
52,EQ,1991.0,1.0,Myanmar,23.613,95.901,,,,,,1.0,7.1,
53,EQ,1991.0,1.0,Afghanistan,35.993,70.423,848.0,3.0,200.0,3.0,36.0,4.0,6.4,
54,EQ,1991.0,2.0,Solomon Islands,-9.929,159.139,,,,,,1.0,6.9,
55,EQ,1991.0,2.0,France,44.885,6.76,9.0,1.0,,,,1.0,3.8,
56,EQ,1991.0,2.0,Russia,48.268,154.328,,,,,,,5.7,
57,EQ,1991.0,2.0,BERING SEA,58.427,-175.45,,,,,,,6.7,
58,EQ,1991.0,2.0,China,40.386,78.959,,,3.0,1.0,,2.0,6.1,
59,EQ,1991.0,3.0,China,39.887,113.923,,,131.0,3.0,,2.0,5.5,
60,EQ,1991.0,4.0,Peru,-6.038,-77.13,,,10.0,1.0,,1.0,6.4,
61,EQ,1991.0,4.0,Peru,-5.982,-77.094,53.0,2.0,252.0,3.0,,3.0,6.7,
62,EQ,1991.0,4.0,Afghanistan,37.457,68.273,,2.0,,3.0,,3.0,5.1,
63,EQ,1991.0,4.0,Afghanistan,36.416,70.912,,,,,,1.0,4.1,
64,EQ,1991.0,4.0,Costa Rica,9.685,-83.073,90.0,2.0,895.0,3.0,510.0,4.0,7.6,
65,EQ,1991.0,4.0,Turkey,39.597,41.118,1.0,1.0,3.0,1.0,,1.0,4.5,
66,EQ,1991.0,4.0,United States,42.453,43.673,270.0,3.0,,,1700.0,4.0,7.0,
67,EQ,1991.0,5.0,Iran,9.542,-82.418,,,36.0,1.0,,2.0,6.2,
68,EQ,1991.0,5.0,United States,42.565,43.349,,1.0,,,,1.0,4.9,
69,EQ,1991.0,5.0,Malaysia,5.865,116.746,1.0,1.0,,,,1.0,4.5,
70,EQ,1991.0,6.0,United States,42.461,44.009,8.0,1.0,200.0,3.0,,,6.1,
71,EQ,1991.0,6.0,Philippines,15.119,120.355,800.0,3.0,4.0,1.0,,3.0,5.5,
72,EQ,1991.0,6.0,Turkey,39.984,42.875,,,,,,,4.5,
73,EQ,1991.0,6.0,Indonesia,1.196,122.787,,,,,,3.0,7.5,
74,EQ,1991.0,6.0,United States,34.262,-118.002,2.0,1.0,104.0,3.0,33.5,4.0,5.1,
75,EQ,1991.0,7.0,Indonesia,-8.099,124.681,28.0,1.0,181.0,3.0,7.7,3.0,6.5,
76,EQ,1991.0,7.0,Oman,45.364,21.057,2.0,1.0,30.0,1.0,,1.0,5.6,
77,EQ,1991.0,7.0,Oman,44.888,22.407,,,,,,2.0,5.6,
78,EQ,1991.0,7.0,Peru,-15.679,-71.574,92.0,2.0,30.0,1.0,,2.0,4.7,
79,EQ,1991.0,7.0,Iraq,36.52,44.066,20.0,1.0,,3.0,,2.0,5.1,
80,EQ,1991.0,8.0,Costa Rica,9.737,-84.054,,,,,,1.0,4.7,
81,EQ,1991.0,8.0,Venezuela,10.045,-69.948,,,,,,2.0,5.2,
82,EQ,1991.0,8.0,United States,40.235,-124.348,,,,,,2.0,6.2,
83,EQ,1991.0,9.0,New Zealand,-40.25,175.053,,,,,,2.0,5.6,
84,EQ,1991.0,9.0,Guatemala,14.646,-90.986,25.0,1.0,200.0,3.0,,3.0,6.2,
85,EQ,1991.0,10.0,Solomon Islands,-9.094,158.442,,,,,,,7.2,
86,EQ,1991.0,10.0,India,30.78,78.774,2000.0,4.0,1800.0,4.0,60.0,4.0,7.0,
87,EQ,1991.0,11.0,Iran,30.666,50.218,,,51.0,2.0,,2.0,5.4,
88,EQ,1991.0,11.0,India,26.323,70.607,,,,,,1.0,5.0,
89,EQ,1991.0,11.0,Colombia,4.554,-77.442,2.0,1.0,,,,2.0,6.4,
90,EQ,1991.0,11.0,Yemen,13.887,44.068,11.0,1.0,40.0,1.0,,2.0,4.7,
91,EQ,1991.0,11.0,Iran,36.924,49.603,1.0,1.0,70.0,2.0,,2.0,5.0,
92,EQ,1991.0,12.0,Oman,45.498,21.115,,,,2.0,,2.0,5.5,
93,EQ,1991.0,12.0,Russia,45.533,151.021,,,,,,,7.6,
94,EQ,1992.0,1.0,China,18.0,108.0,,,,,,1.0,3.7,
95,EQ,1992.0,2.0,Japan,35.106,139.644,,,37.0,1.0,,1.0,5.6,
96,EQ,1992.0,2.0,Indonesia,-7.138,109.067,,,1.0,1.0,,3.0,4.4,
97,EQ,1992.0,3.0,Iran,31.726,50.778,6.0,1.0,50.0,1.0,,2.0,4.6,
98,EQ,1992.0,3.0,Turkey,39.71,39.605,653.0,3.0,2000.0,4.0,750.0,4.0,6.9,
99,EQ,1992.0,4.0,Germany,51.153,5.798,1.0,1.0,45.0,1.0,100.0,4.0,5.2,
100,EQ,1992.0,4.0,United States,33.961,-116.318,,,32.0,1.0,,2.0,6.3,
101,EQ,1992.0,4.0,United States,40.368,-124.316,,,98.0,2.0,75.0,4.0,7.1,
102,EQ,1992.0,5.0,Kyrgyzstan,41.019,72.429,4.0,1.0,,,31.0,4.0,6.2,
103,EQ,1992.0,5.0,Philippines,7.191,126.762,,,,,,1.0,7.5,
104,EQ,1992.0,5.0,Pakistan,33.377,71.317,6.0,1.0,100.0,2.0,,2.0,6.0,
105,EQ,1992.0,5.0,Cuba,19.613,-77.872,,,40.0,1.0,,2.0,7.0,
106,EQ,1992.0,5.0,Solomon Islands,-11.122,165.239,,,,,,,7.0,
107,EQ,1992.0,6.0,United States,34.201,-116.436,3.0,1.0,400.0,3.0,92.0,4.0,7.6,
108,EQ,1992.0,6.0,United States,34.203,-116.827,,,,2.0,,2.0,6.7,
109,EQ,1992.0,6.0,United States,36.705,-116.293,,,,,,2.0,5.4,
110,EQ,1992.0,7.0,Japan,39.419,143.33,,,,,,,7.0,
111,EQ,1992.0,8.0,Japan,32.536,141.641,,,,,,,6.3,
112,EQ,1992.0,8.0,Kyrgyzstan,42.142,73.575,75.0,2.0,,,130.0,4.0,7.5,
113,EQ,1992.0,8.0,Pakistan,29.087,66.74,4.0,1.0,200.0,3.0,,2.0,5.5,
114,EQ,1992.0,9.0,Costa Rica,11.727,-87.386,170.0,3.0,489.0,3.0,30.0,4.0,7.7,
115,EQ,1992.0,9.0,Iran,29.134,52.187,1.0,1.0,11.0,1.0,,2.0,4.7,
